country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,extent_change_2000_2010,total_tree_loss_ha_2001_2023,gain_loss_ratio,GDI,GDI_Category
0.0,4.0,25.0,9423241.0,194110.0,277083.0,42365.0,144.0,40.0,30.0,72.0,106.0,69.0,49.0,88.0,262.0,115.0,65.0,101.0,15.0,15.0,2.0,8.0,37.0,9.0,4.0,20.0,10.0,9.0,43.0,82973.0,1313.0,32.24124809741248,-0.2114872418358568,Acceptable
0.0,4.0,30.0,9423241.0,153842.0,205561.0,42365.0,142.0,40.0,30.0,72.0,105.0,68.0,48.0,87.0,260.0,113.0,64.0,98.0,13.0,12.0,1.0,7.0,37.0,8.0,3.0,15.0,9.0,8.0,36.0,51719.0,1276.0,33.17541111981206,-0.267083975221492,Acceptable
0.0,4.0,50.0,9423241.0,87360.0,91519.0,42365.0,107.0,27.0,21.0,44.0,78.0,47.0,33.0,57.0,160.0,80.0,45.0,58.0,7.0,7.0,0.0,3.0,33.0,6.0,2.0,3.0,5.0,1.0,16.0,4159.0,840.0,50.37455410225922,-0.47532651869827497,Acceptable
0.0,4.0,75.0,9423241.0,31623.0,32205.0,42365.0,40.0,8.0,9.0,12.0,25.0,18.0,13.0,23.0,31.0,32.0,19.0,27.0,1.0,2.0,0.0,0.0,13.0,1.0,0.0,2.0,2.0,0.0,4.0,582.0,282.0,149.69964664310953,-1.330729825449026,Acceptable
0.0,5.0,0.0,11812.0,11812.0,11812.0,197.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.071428571428571,-0.015576060272581054,Acceptable
0.0,5.0,10.0,11812.0,930.0,1202.0,197.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,13.0,14.071428571428571,-0.19763694951664876,Acceptable
0.0,5.0,15.0,11812.0,848.0,1105.0,197.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,13.0,14.071428571428571,-0.21672555948174324,Acceptable
0.0,5.0,20.0,11812.0,809.0,1089.0,197.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,13.0,14.071428571428571,-0.2271604938271605,Acceptable
0.0,5.0,25.0,11812.0,753.0,1018.0,197.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,13.0,14.071428571428571,-0.2440318302387268,Acceptable
0.0,5.0,30.0,11812.0,702.0,935.0,197.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,13.0,14.071428571428571,-0.26173541963015645,Acceptable
